feedback_text,source,timestamp,manual_category,label_list,confidence_score,Bug,Complaint,Compliment,Feature Request,General Feedback
The app crashes every time I try to upload a photo.,Twitter,24-05-2025 12:16,Bug,['Bug'],0.5660600783492644,1,0,0,0,0
Too many ads make the experience frustrating.,Web Form,04-06-2025 12:16,Complaint,['Complaint'],0.2920370006842539,0,0,0,0,0
Navigation is confusing and not user-friendly.,Email,18-04-2025 12:16,Complaint,['Complaint'],0.24379287365120217,0,0,0,0,0
The login process takes forever.,Web Form,10-05-2025 12:16,Complaint,['Complaint'],0.3486978762771052,0,0,0,0,0
It keeps asking me to verify my email again and again.,Web Form,27-05-2025 12:16,Complaint,['Complaint'],0.3157672614350199,0,0,0,0,0
The dark mode doesn't apply to all screens.,Twitter,19-05-2025 12:16,Complaint,['Complaint'],0.27673123159329993,0,0,0,0,0
Payment failed but the amount was deducted.,Google Play,04-05-2025 12:16,Bug,['Bug'],0.49939616695397704,0,0,0,0,0
Customer support is very slow to respond.,Google Play,11-05-2025 12:16,Complaint,['Complaint'],0.2784662418300083,0,0,0,0,0
The app freezes after the recent update.,Twitter,28-04-2025 12:16,Bug,['Bug'],0.5395288311505496,1,0,0,0,0
Settings options are very limited and unclear.,Email,29-05-2025 12:16,Complaint,['Complaint'],0.3059676614371105,0,0,0,0,0
"When I tap the notification, the app opens a blank page.",App Store,17-04-2025 12:16,Bug,['Bug'],0.5443879474526664,1,0,0,0,0
The calendar doesn't save any new events.,Twitter,08-06-2025 12:16,Bug,['Bug'],0.47701113053643673,0,0,0,0,0
Profile pictures are not loading.,Google Play,14-06-2025 12:16,Bug,['Bug'],0.5062522552550179,1,0,0,0,0
Voice input doesn't work on Android.,Web Form,22-05-2025 12:16,Bug,['Bug'],0.4402646530419576,0,0,0,0,0
I can’t delete old messages in the chat window.,Google Play,03-05-2025 12:16,Bug,['Bug'],0.454717819904379,0,0,0,0,0
App randomly logs me out.,Web Form,31-05-2025 12:16,Bug,['Bug'],0.4848102547645111,0,0,0,0,0
Scrolling lags badly on the home feed.,Email,27-05-2025 12:16,Bug,['Bug'],0.3819226696923906,0,0,0,0,0
Push notifications don’t appear even when enabled.,Twitter,21-05-2025 12:16,Bug,['Bug'],0.4770034895630347,0,0,0,0,0
Fonts overlap on smaller screens.,Twitter,29-05-2025 12:16,Bug,['Bug'],0.39472759228963256,0,0,0,0,0
The share button crashes the app.,App Store,23-05-2025 12:16,Bug,['Bug'],0.5048601462919956,1,0,0,0,0
Please add biometric login support.,Web Form,09-06-2025 12:16,Complaint,['Complaint'],0.29806639539490715,0,0,0,0,0
It would be great to have a dark theme toggle.,Web Form,19-05-2025 12:16,Feature Request,['Feature Request'],0.3465494050132197,0,0,0,0,0
