feedback_text,source,timestamp,manual_category,predicted_category
The app crashes every time I try to upload a photo.,Twitter,2025-05-24 12:16:28,Bug,Complaint
Too many ads make the experience frustrating.,Web Form,2025-06-04 12:16:28,Complaint,Complaint
Navigation is confusing and not user-friendly.,Email,2025-04-18 12:16:28,Complaint,Complaint
The login process takes forever.,Web Form,2025-05-10 12:16:28,Complaint,Complaint
It keeps asking me to verify my email again and again.,Web Form,2025-05-27 12:16:28,Complaint,Complaint
The dark mode doesn't apply to all screens.,Twitter,2025-05-19 12:16:28,Complaint,Compliment
Payment failed but the amount was deducted.,Google Play,2025-05-04 12:16:28,Bug,Complaint
Customer support is very slow to respond.,Google Play,2025-05-11 12:16:28,Complaint,Complaint
The app freezes after the recent update.,Twitter,2025-04-28 12:16:28,Bug,Complaint
Settings options are very limited and unclear.,Email,2025-05-29 12:16:28,Complaint,Complaint
"When I tap the notification, the app opens a blank page.",App Store,2025-04-17 12:16:28,Bug,Compliment
The calendar doesn't save any new events.,Twitter,2025-06-08 12:16:28,Bug,Compliment
Profile pictures are not loading.,Google Play,2025-06-14 12:16:28,Bug,Complaint
Voice input doesn't work on Android.,Web Form,2025-05-22 12:16:28,Bug,Bug
I can’t delete old messages in the chat window.,Google Play,2025-05-03 12:16:28,Bug,Bug
App randomly logs me out.,Web Form,2025-05-31 12:16:28,Bug,Complaint
Scrolling lags badly on the home feed.,Email,2025-05-27 12:16:28,Bug,Complaint
Push notifications don’t appear even when enabled.,Twitter,2025-05-21 12:16:28,Bug,Bug
Fonts overlap on smaller screens.,Twitter,2025-05-29 12:16:28,Bug,Compliment
The share button crashes the app.,App Store,2025-05-23 12:16:28,Bug,Bug
Please add biometric login support.,Web Form,2025-06-09 12:16:28,Complaint,Feature Request
It would be great to have a dark theme toggle.,Web Form,2025-05-19 12:16:28,Feature Request,Feature Request
Add a filter for unread messages.,Web Form,2025-05-19 12:16:28,Feature Request,Feature Request
Can we get a desktop version too?,Google Play,2025-06-13 12:16:28,Feature Request,Feature Request
Please include voice call functionality.,Web Form,2025-06-15 12:16:28,Feature Request,Feature Request
Option to customize the dashboard would be helpful.,App Store,2025-05-10 12:16:28,Feature Request,Feature Request
An offline mode would be really useful.,Twitter,2025-04-21 12:16:28,Feature Request,Feature Request
Need the ability to export data as CSV.,Web Form,2025-04-19 12:16:28,Feature Request,Feature Request
A widget for the home screen would be nice.,Google Play,2025-06-06 12:16:28,Feature Request,Feature Request
"Add multi-language support, especially Hindi and Spanish.",Twitter,2025-05-03 12:16:28,Feature Request,Feature Request
Amazing app! It’s super easy to use.,App Store,2025-06-10 12:16:28,Compliment,Compliment
I love the recent UI update.,Email,2025-04-28 12:16:28,Compliment,Compliment
Great customer service!,Email,2025-05-14 12:16:28,Compliment,Compliment
Very intuitive and fast — keep it up!,App Store,2025-06-08 12:16:28,Compliment,Compliment
Hands down the best productivity app I’ve tried.,Email,2025-05-25 12:16:28,Compliment,Compliment
Love how clean and simple the design is.,Web Form,2025-04-28 12:16:28,Compliment,Compliment
Thank you for listening to user feedback!,Web Form,2025-05-29 12:16:28,Compliment,Compliment
"Reliable and efficient, well done!",Web Form,2025-05-13 12:16:28,Compliment,Compliment
Works seamlessly across my devices.,Twitter,2025-05-21 12:16:28,Compliment,Compliment
Beautiful interface and flawless performance.,Email,2025-05-29 12:16:28,Compliment,Compliment
"Good app, but could use some polish.",Google Play,2025-05-08 12:16:28,General Feedback,General Feedback
Overall nice experience with a few hiccups.,Email,2025-05-28 12:16:28,General Feedback,Compliment
Hope you keep improving the update frequency.,Web Form,2025-04-26 12:16:28,General Feedback,Compliment
"Useful features, though there’s room for growth.",Twitter,2025-06-11 12:16:28,General Feedback,Compliment
App works okay for basic needs.,Twitter,2025-05-22 12:16:28,General Feedback,General Feedback
Can’t wait to see future enhancements.,Web Form,2025-05-14 12:16:28,General Feedback,Compliment
Decent app but has its flaws.,Email,2025-06-08 12:16:28,General Feedback,Complaint
Thanks for building something this useful.,Web Form,2025-05-27 12:16:28,General Feedback,Compliment
"Sometimes it’s slow, but mostly fine.",Web Form,2025-05-03 12:16:28,General Feedback,Compliment
"App does what it says, nothing more nothing less.",Web Form,2025-05-25 12:16:28,General Feedback,General Feedback
