feedback_text,category,source,timestamp
The app crashes every time I try to upload a photo.,Complaints,Twitter,2025-05-24 12:16:28
Too many ads make the experience frustrating.,Complaints,Web Form,2025-06-04 12:16:28
Navigation is confusing and not user-friendly.,Complaints,Email,2025-04-18 12:16:28
The login process takes forever.,Complaints,Web Form,2025-05-10 12:16:28
It keeps asking me to verify my email again and again.,Complaints,Web Form,2025-05-27 12:16:28
The dark mode doesn't apply to all screens.,Complaints,Twitter,2025-05-19 12:16:28
Payment failed but the amount was deducted.,Complaints,Google Play,2025-05-04 12:16:28
Customer support is very slow to respond.,Complaints,Google Play,2025-05-11 12:16:28
The app freezes after the recent update.,Complaints,Twitter,2025-04-28 12:16:28
Settings options are very limited and unclear.,Complaints,Email,2025-05-29 12:16:28
"When I tap the notification, the app opens a blank page.",Bug Reports,App Store,2025-04-17 12:16:28
The calendar doesn't save any new events.,Bug Reports,Twitter,2025-06-08 12:16:28
Profile pictures are not loading.,Bug Reports,Google Play,2025-06-14 12:16:28
Voice input doesn't work on Android.,Bug Reports,Web Form,2025-05-22 12:16:28
I can’t delete old messages in the chat window.,Bug Reports,Google Play,2025-05-03 12:16:28
App randomly logs me out.,Bug Reports,Web Form,2025-05-31 12:16:28
Scrolling lags badly on the home feed.,Bug Reports,Email,2025-05-27 12:16:28
Push notifications don’t appear even when enabled.,Bug Reports,Twitter,2025-05-21 12:16:28
Fonts overlap on smaller screens.,Bug Reports,Twitter,2025-05-29 12:16:28
The share button crashes the app.,Bug Reports,App Store,2025-05-23 12:16:28
Please add biometric login support.,Feature Requests,Web Form,2025-06-09 12:16:28
It would be great to have a dark theme toggle.,Feature Requests,Web Form,2025-05-19 12:16:28
Add a filter for unread messages.,Feature Requests,Web Form,2025-05-19 12:16:28
Can we get a desktop version too?,Feature Requests,Google Play,2025-06-13 12:16:28
Please include voice call functionality.,Feature Requests,Web Form,2025-06-15 12:16:28
Option to customize the dashboard would be helpful.,Feature Requests,App Store,2025-05-10 12:16:28
An offline mode would be really useful.,Feature Requests,Twitter,2025-04-21 12:16:28
Need the ability to export data as CSV.,Feature Requests,Web Form,2025-04-19 12:16:28
A widget for the home screen would be nice.,Feature Requests,Google Play,2025-06-06 12:16:28
"Add multi-language support, especially Hindi and Spanish.",Feature Requests,Twitter,2025-05-03 12:16:28
Amazing app! It’s super easy to use.,Compliments,App Store,2025-06-10 12:16:28
I love the recent UI update.,Compliments,Email,2025-04-28 12:16:28
Great customer service!,Compliments,Email,2025-05-14 12:16:28
Very intuitive and fast — keep it up!,Compliments,App Store,2025-06-08 12:16:28
Hands down the best productivity app I’ve tried.,Compliments,Email,2025-05-25 12:16:28
Love how clean and simple the design is.,Compliments,Web Form,2025-04-28 12:16:28
Thank you for listening to user feedback!,Compliments,Web Form,2025-05-29 12:16:28
"Reliable and efficient, well done!",Compliments,Web Form,2025-05-13 12:16:28
Works seamlessly across my devices.,Compliments,Twitter,2025-05-21 12:16:28
Beautiful interface and flawless performance.,Compliments,Email,2025-05-29 12:16:28
"Good app, but could use some polish.",General Feedback,Google Play,2025-05-08 12:16:28
Overall nice experience with a few hiccups.,General Feedback,Email,2025-05-28 12:16:28
Hope you keep improving the update frequency.,General Feedback,Web Form,2025-04-26 12:16:28
"Useful features, though there’s room for growth.",General Feedback,Twitter,2025-06-11 12:16:28
App works okay for basic needs.,General Feedback,Twitter,2025-05-22 12:16:28
Can’t wait to see future enhancements.,General Feedback,Web Form,2025-05-14 12:16:28
Decent app but has its flaws.,General Feedback,Email,2025-06-08 12:16:28
Thanks for building something this useful.,General Feedback,Web Form,2025-05-27 12:16:28
"Sometimes it’s slow, but mostly fine.",General Feedback,Web Form,2025-05-03 12:16:28
"App does what it says, nothing more nothing less.",General Feedback,Web Form,2025-05-25 12:16:28
