feedback_text,manual_category,predicted_category,sentiment,urgency_score,confidence_score,timestamp,source
The app crashes every time I try to upload a photo.,Bug,Complaint,NEGATIVE,0.8037088513374329,0.5660600783492644,24-05-2025 12:16,website
Too many ads make the experience frustrating.,Complaint,Complaint,NEGATIVE,0.5681803226470947,0.2920370006842539,04-06-2025 12:16,App
Navigation is confusing and not user-friendly.,Complaint,Complaint,NEGATIVE,0.6879308223724365,0.2437928736512021,18-04-2025 12:16,Email
The login process takes forever.,Complaint,Complaint,NEGATIVE,0.1432749330997467,0.3486978762771052,10-05-2025 12:16,website
It keeps asking me to verify my email again and again.,Complaint,Complaint,NEGATIVE,0.7654731273651123,0.3157672614350199,27-05-2025 12:16,Email
The dark mode doesn't apply to all screens.,Complaint,Compliment,NEGATIVE,0.622958242893219,0.2767312315932999,19-05-2025 12:16,App
Payment failed but the amount was deducted.,Bug,Complaint,NEGATIVE,0.7236338257789612,0.499396166953977,04-05-2025 12:16,Email
Customer support is very slow to respond.,Complaint,Complaint,NEGATIVE,0.4231894016265869,0.2784662418300083,11-05-2025 12:16,Email
The app freezes after the recent update.,Bug,Complaint,NEGATIVE,0.7365203499794006,0.5395288311505496,28-04-2025 12:16,website
Settings options are very limited and unclear.,Complaint,Complaint,NEGATIVE,0.4910878241062164,0.3059676614371105,29-05-2025 12:16,Email
"When I tap the notification, the app opens a blank page.",Bug,Compliment,NEGATIVE,0.4452438950538635,0.5443879474526664,17-04-2025 12:16,App
The calendar doesn't save any new events.,Bug,Compliment,NEGATIVE,0.1688275188207626,0.4770111305364367,08-06-2025 12:16,App
Profile pictures are not loading.,Bug,Complaint,POSITIVE,0.738128662109375,0.5062522552550179,14-06-2025 12:16,Email
Voice input doesn't work on Android.,Bug,Bug,NEGATIVE,0.5015905499458313,0.4402646530419576,22-05-2025 12:16,website
I can’t delete old messages in the chat window.,Bug,Bug,NEGATIVE,0.6238218545913696,0.454717819904379,03-05-2025 12:16,Email
App randomly logs me out.,Bug,Complaint,POSITIVE,0.1973388642072677,0.4848102547645111,31-05-2025 12:16,website
Scrolling lags badly on the home feed.,Bug,Complaint,NEGATIVE,0.652302622795105,0.3819226696923906,27-05-2025 12:16,Email
Push notifications don’t appear even when enabled.,Bug,Bug,NEGATIVE,0.4752496480941772,0.4770034895630347,21-05-2025 12:16,App
Fonts overlap on smaller screens.,Bug,Compliment,NEGATIVE,0.5526392459869385,0.3947275922896325,29-05-2025 12:16,Email
The share button crashes the app.,Bug,Bug,NEGATIVE,0.7059906721115112,0.5048601462919956,23-05-2025 12:16,website
Please add biometric login support.,Complaint,Feature Request,POSITIVE,0.9616627097129822,0.2980663953949071,09-06-2025 12:16,website
It would be great to have a dark theme toggle.,Feature Request,Feature Request,POSITIVE,0.7080902457237244,0.3465494050132197,19-05-2025 12:16,Email
Add a filter for unread messages.,Feature Request,Feature Request,NEGATIVE,0.2541019022464752,0.3106337337129762,19-05-2025 12:16,Email
Can we get a desktop version too?,Feature Request,Feature Request,NEGATIVE,0.8230841159820557,0.3755703655667643,13-06-2025 12:16,App
Please include voice call functionality.,Feature Request,Feature Request,POSITIVE,0.8399240374565125,0.3292784471710747,15-06-2025 12:16,App
Option to customize the dashboard would be helpful.,Feature Request,Feature Request,NEGATIVE,0.8405507802963257,0.3610676640534171,10-05-2025 12:16,Email
An offline mode would be really useful.,Feature Request,Feature Request,NEGATIVE,0.7669054269790649,0.4046311076818751,21-04-2025 12:16,website
Need the ability to export data as CSV.,Feature Request,Feature Request,NEGATIVE,0.9226137399673462,0.4102680684781539,19-04-2025 12:16,website
A widget for the home screen would be nice.,Feature Request,Feature Request,NEGATIVE,0.7610746026039124,0.3983493058227434,06-06-2025 12:16,Email
