feedback_text,source,timestamp,manual_category,predicted_category,sentiment,summary
The app crashes every time I try to upload a photo.,Twitter,2025-05-24 12:16:28,Bug,Complaint,NEGATIVE, The app crashes every time I try to upload a photo .
Too many ads make the experience frustrating.,Web Form,2025-06-04 12:16:28,Complaint,Complaint,NEGATIVE," Too many ads make the experience frustrating, too many make it hard to read ."
Navigation is confusing and not user-friendly.,Email,2025-04-18 12:16:28,Complaint,Complaint,NEGATIVE, Navigation is confusing and not user-friendly .
The login process takes forever.,Web Form,2025-05-10 12:16:28,Complaint,Complaint,NEGATIVE, The login process takes forever. It's time to log in and out of the system . It's the first time I've seen a
It keeps asking me to verify my email again and again.,Web Form,2025-05-27 12:16:28,Complaint,Complaint,NEGATIVE, It keeps asking me to verify my email again and again. It keeps telling me it's OK to send it to me . It keeps
The dark mode doesn't apply to all screens.,Twitter,2025-05-19 12:16:28,Complaint,Compliment,NEGATIVE," The dark mode doesn't apply to all screens . It's not always dark on all screens, but the dark mode isn't always available"
Payment failed but the amount was deducted.,Google Play,2025-05-04 12:16:28,Bug,Complaint,NEGATIVE, Payment failed and the amount was deducted . Payment failed but the amount of the failed payment was paid back .
Customer support is very slow to respond.,Google Play,2025-05-11 12:16:28,Complaint,Complaint,NEGATIVE," Customer support is very slow to respond. Customer support was very slow, say the company . Customer support has been slow to reach out to"
The app freezes after the recent update.,Twitter,2025-04-28 12:16:28,Bug,Complaint,NEGATIVE, The app freezes after the recent update to the app freezes . It freezes after a recent update .
Settings options are very limited and unclear.,Email,2025-05-29 12:16:28,Complaint,Complaint,NEGATIVE, Settings options are very limited and unclear . Settings options for the new iPhone X are also very limited .
"When I tap the notification, the app opens a blank page.",App Store,2025-04-17 12:16:28,Bug,Compliment,NEGATIVE," When I tap the notification, the app opens a blank page ."
The calendar doesn't save any new events.,Twitter,2025-06-08 12:16:28,Bug,Compliment,NEGATIVE, The calendar doesn't save any new events. The calendar does not save any more events.
Profile pictures are not loading.,Google Play,2025-06-14 12:16:28,Bug,Complaint,POSITIVE, Profile pictures are not loading. Profile pictures will not load .
Voice input doesn't work on Android.,Web Form,2025-05-22 12:16:28,Bug,Bug,NEGATIVE, Voice input doesn't work on Android phones . Voice input can only be used on Android tablets and smartphones .
I can’t delete old messages in the chat window.,Google Play,2025-05-03 12:16:28,Bug,Bug,NEGATIVE, I can’t delete old messages in the chat window in chat window . I can't delete old chat messages in a chat window
App randomly logs me out.,Web Form,2025-05-31 12:16:28,Bug,Complaint,POSITIVE," App randomly logs me out of the app, I'm not sure why it happened . I'm just trying to keep myself out of danger"
Scrolling lags badly on the home feed.,Email,2025-05-27 12:16:28,Bug,Complaint,NEGATIVE, Scrolling lags badly on the home feed .
Push notifications don’t appear even when enabled.,Twitter,2025-05-21 12:16:28,Bug,Bug,NEGATIVE, Push notifications don’t appear even when enabled . Push notifications will not appear even if enabled. Push notifications also don't appear even
